id,name,state_id
649,Seohara,27
650,Umarkhed,14
651,Madhupur,10
652,Vikramasingapuram,23
653,Punalur,12
654,Kendrapara,19
655,Sihor,7
656,Nellikuppam,23
657,Samana,20
658,Warora,14
659,Nilambur,12
660,Rasipuram,23
661,Ramnagar,26
662,Jammalamadugu,1
663,Nawanshahr,20
664,Thoubal,15
665,Athni,11
666,Cherthala,12
667,Sidhi,13
668,Farooqnagar,24
669,Peddapuram,1
670,Chirkunda,10
671,Pachora,14
672,Madhepura,4
673,Pithoragarh,26
674,Tumsar,14
675,Phalodi,21
676,Tiruttani,23
677,Rampura Phul,20
678,Perinthalmanna,12
679,Padrauna,27
680,Pipariya,13
681,Dalli-Rajhara,5
682,Punganur,1
683,Mattannur,12
684,Mathura,27
685,Thakurdwara,27
686,Nandivaram-Guduvancheri,23
687,Mulbagal,11
688,Manjlegaon,14
689,Wankaner,7
690,Sillod,14
691,Nidadavole,1
692,Surapura,11
693,Rajagangapur,19
694,Sheikhpura,4
695,Parlakhemundi,19
696,Kalimpong,28
697,Siruguppa,11
698,Arvi,14
699,Limbdi,7
700,Barpeta,3
701,Manglaur,26
702,Repalle,1
703,Mudhol,11
704,Shujalpur,13
705,Mandvi,7
706,Thangadh,7
707,Sironj,13
708,Nandura,14
709,Shoranur,12
710,Nathdwara,21
711,Periyakulam,23
712,Sultanganj,4
713,Medak,24
714,Narayanpet,24
715,Raxaul Bazar,4
716,Rajauri,34
717,Pernampattu,23
718,Nainital,26
719,Ramachandrapuram,1
720,Vaijapur,14
721,Nangal,20
722,Sidlaghatta,11
723,Poonch,34
724,Pandhurna,13
725,Wadgaon Road,14
726,Talcher,19
727,Varkala,12
728,Pilani,21
729,Nowgong,13
730,Naila Janjgir,5
731,Mapusa,6
732,Vellakoil,23
733,Merta City,21
734,Sivaganga,23
735,Mandideep,13
736,Sailu,14
737,Vyara,7
738,Kovvur,1
739,Vadalur,23
740,Nawabganj,27
741,Padra,7
742,Sainthia,28
743,Siana,27
744,Shahpur,11
745,Sojat,21
746,Noorpur,27
747,Paravoor,12
748,Murtijapur,14
749,Ramnagar,4
750,Sundargarh,19
751,Taki,28
752,Saundatti-Yellamma,11
753,Pathanamthitta,12
754,Wadi,11
755,Rameshwaram,23
756,Tasgaon,14
757,Sikandra Rao,27
758,Sihora,13
759,Tiruvethipuram,23
760,Tiruvuru,1
761,Mehkar,14
762,Peringathur,12
763,Perambalur,23
764,Manvi,11
765,Zunheboto,18
766,Mahnar Bazar,4
767,Attingal,12
768,Shahbad,8
769,Puranpur,27
770,Nelamangala,11
771,Nakodar,20
772,Lunawada,7
773,Murshidabad,28
774,Mahe,37
775,Lanka,3
776,Rudauli,27
777,Tuensang,18
778,Lakshmeshwar,11
779,Zira,20
780,Yawal,14
781,Thana Bhawan,27
782,Ramdurg,11
783,Pulgaon,14
784,Sadasivpet,24
785,Nargund,11
786,Neem-Ka-Thana,21
787,Memari,28
788,Nilanga,14
789,Naharlagun,2
790,Pakaur,10
791,Wai,14
792,Tarikere,11
793,Malavalli,11
794,Raisen,13
795,Lahar,13
796,Uravakonda,1
797,Savanur,11
798,Sirohi,21
799,Udhampur,34
800,Umarga,14
801,Pratapgarh,21
802,Lingsugur,11
803,Usilampatti,23
804,Palia Kalan,27
805,Wokha,18
806,Rajpipla,7
807,Vijayapura,11
808,Rawatbhata,21
809,Sangaria,21
810,Paithan,14
811,Rahuri,14
812,Patti,20
813,Zaidpur,27
814,Lalsot,21
815,Maihar,13
816,Vedaranyam,23
817,Nawapur,14
818,Solan,9
819,Vapi,7
820,Sanawad,13
821,Warisaliganj,4
822,Revelganj,4
823,Sabalgarh,13
824,Tuljapur,14
825,Simdega,10
826,Musabani,10
827,Kodungallur,12
828,Phulabani,19
829,Umreth,7
830,Narsipatnam,1
831,Nautanwa,27
832,Rajgir,4
833,Yellandu,24
834,Sathyamangalam,23
835,Pilibanga,21
836,Morshi,14
837,Pehowa,8
838,Sonepur,4
839,Pappinisseri,12
840,Zamania,27
841,Mihijam,10
842,Purna,14
843,Puliyankudi,23
844,"Shikarpur, Bulandshahr",27
845,Umaria,13
846,Porsa,13
847,Naugawan Sadat,27
848,Fatehpur Sikri,27
849,Manuguru,24
850,Udaipur,25
851,Pipar City,21
852,Pattamundai,19
853,Nanjikottai,23
854,Taranagar,21
855,Yerraguntla,1
856,Satana,14
857,Sherghati,4
858,Sankeshwara,11
859,Madikeri,11
860,Thuraiyur,23
861,Sanand,7
862,Rajula,7
863,Kyathampalle,24
864,"Shahabad, Rampur",27
865,Tilda Newra,5
866,Narsinghgarh,13
867,Chittur-Thathamangalam,12
868,Malaj Khand,13
869,Sarangpur,13
870,Robertsganj,27
871,Sirkali,23
872,Radhanpur,7
873,Tiruchendur,23
874,Utraula,27
875,Patratu,10
876,"Vijainagar, Ajmer",21
877,Periyasemur,23
878,Pathri,14
879,Sadabad,27
880,Talikota,11
881,Sinnar,14
882,Mungeli,5
883,Sedam,11
884,Shikaripur,11
885,Sumerpur,21
886,Sattur,23
887,Sugauli,4
888,Lumding,3
889,Vandavasi,23
890,Titlagarh,19
891,Uchgaon,14
892,Mokokchung,18
893,Paschim Punropara,28
894,Sagwara,21
895,Ramganj Mandi,21
896,Tarakeswar,28
897,Mahalingapura,11
898,Dharmanagar,25
899,Mahemdabad,7
900,Manendragarh,5
901,Uran,14
902,Tharamangalam,23
903,Tirukkoyilur,23
904,Pen,14
905,Makhdumpur,4
906,Maner,4
907,Oddanchatram,23
908,Palladam,23
909,Mundi,13
910,Nabarangapur,19
911,Mudalagi,11
912,Samalkha,8
913,Nepanagar,13
914,Karjat,14
915,Ranavav,7
916,Pedana,1
917,Pinjore,8
918,Lakheri,21
919,Pasan,13
920,Puttur,1
921,Vadakkuvalliyur,23
922,Tirukalukundram,23
923,Mahidpur,13
924,Mussoorie,26
925,Muvattupuzha,12
926,Rasra,27
927,Udaipurwati,21
928,Manwath,14
929,Adoor,12
930,Uthamapalayam,23
931,Partur,14
932,Nahan,9
933,Ladwa,8
934,Mankachar,3
935,Nongstoin,16
936,Losal,21
937,Sri Madhopur,21
938,Ramngarh,21
939,Mavelikkara,12
940,Rawatsar,21
941,Rajakhera,21
942,Lar,27
943,Lal Gopalganj Nindaura,27
944,Muddebihal,11
945,Sirsaganj,27
946,Shahpura,21
947,Surandai,23
948,Sangole,14
949,Pavagada,11
950,Tharad,7
951,Mansa,7
952,Umbergaon,7
953,Mavoor,12
954,Nalbari,3
955,Talaja,7
956,Malur,11
957,Mangrulpir,14
958,Soro,19
959,Shahpura,21
960,Vadnagar,7
961,Raisinghnagar,21
962,Sindhagi,11
963,Sanduru,11
964,Sohna,8
965,Manavadar,7
966,Pihani,27
967,Safidon,8
968,Risod,14
969,Rosera,4
970,Sankari,23
971,Malpura,21
972,Sonamukhi,28
973,"Shamsabad, Agra",27
974,Nokha,4
975,PandUrban Agglomeration,28
976,Mainaguri,28
977,Afzalpur,11
978,Shirur,14
979,Salaya,7
980,Shenkottai,23
981,Pratapgarh,25
982,Vadipatti,23
983,Nagarkurnool,24
984,Savner,14
985,Sasvad,14
986,Rudrapur,27
987,Soron,27
988,Sholingur,23
989,Pandharkaoda,14
990,Perumbavoor,12
991,Maddur,11
992,Nadbai,21
993,Talode,14
994,Shrigonda,14
995,Madhugiri,11
996,Tekkalakote,11
997,Seoni-Malwa,13
998,Shirdi,14
999,SUrban Agglomerationr,27
1000,Terdal,11
1001,Raver,14
1002,Tirupathur,23
1003,Taraori,8
1004,Mukhed,14
1005,Manachanallur,23
1006,Rehli,13
1007,Sanchore,21
1008,Rajura,14
1009,Piro,4
1010,Mudabidri,11
1011,Vadgaon Kasba,14
1012,Nagar,21
1013,Vijapur,7
1014,Viswanatham,23
1015,Polur,23
1016,Panagudi,23
1017,Manawar,13
1018,Tehri,26
1019,Samdhan,27
1020,Pardi,7
1021,Rahatgarh,13
1022,Panagar,13
1023,Uthiramerur,23
1024,Tirora,14
1025,Rangia,3
1026,Sahjanwa,27
1027,Wara Seoni,13
1028,Magadi,11
1029,Rajgarh (Alwar),21
1030,Rafiganj,4
1031,Tarana,13
1032,Rampur Maniharan,27
1033,Sheoganj,21
1034,Raikot,20
1035,Pauri,26
1036,Sumerpur,27
1037,Navalgund,11
1038,Shahganj,27
1039,Marhaura,4
1040,Tulsipur,27
1041,Sadri,21
1042,Thiruthuraipoondi,23
1043,Shiggaon,11
1044,Pallapatti,23
1045,Mahendragarh,8
1046,Sausar,13
1047,Ponneri,23
1048,Mahad,14
1049,Lohardaga,10
1050,Tirwaganj,27
1051,Margherita,3
1052,Sundarnagar,9
1053,Rajgarh,13
1054,Mangaldoi,3
1055,Renigunta,1
1056,Longowal,20
1057,Ratia,8
1058,Lalgudi,23
1059,Shrirangapattana,11
1060,Niwari,13
1061,Natham,23
1062,Unnamalaikadai,23
1063,PurqUrban Agglomerationzi,27
1064,"Shamsabad, Farrukhabad",27
1065,Mirganj,4
1066,Todaraisingh,21
1067,Warhapur,27
1068,Rajam,1
1069,Urmar Tanda,20
1070,Lonar,14
1071,Powayan,27
1072,P.N.Patti,23
1073,Palampur,9
1074,Srisailam Project (Right Flank Colony) Township,1
1075,Sindagi,11
1076,Sandi,27
1077,Vaikom,12
1078,Malda,28
1079,Tharangambadi,23
1080,Sakaleshapura,11
1081,Lalganj,4
1082,Malkangiri,19
1083,Rapar,7
1084,Mauganj,13
1085,Todabhim,21
1086,Srinivaspur,11
1087,Murliganj,4
1088,Reengus,21
1089,Sawantwadi,14
1090,Tittakudi,23
1091,Lilong,15
1092,Rajaldesar,21
1093,Pathardi,14
1094,Achhnera,27
1095,Pacode,23
1096,Naraura,27
1097,Nakur,27
1098,Palai,12
1099,"Morinda, India",20
1100,Manasa,13
1101,Nainpur,13
1102,Sahaspur,27
1103,Pauni,14
1104,Prithvipur,13
1105,Ramtek,14
1106,Silapathar,3
1107,Songadh,7
1108,Safipur,27
1109,Sohagpur,13
1110,Mul,14
1111,Sadulshahar,21
1112,Phillaur,20
1113,Sambhar,21
1114,Prantij,21
1115,Nagla,26
1116,Pattran,20
1117,Mount Abu,21
1118,Reoti,27
1119,Tenu dam-cum-Kathhara,10
1120,Panchla,28
1121,Sitarganj,26
1122,Pasighat,2
1123,Motipur,4
1124,O Valley,23
1125,Raghunathpur,28
1126,Suriyampalayam,23
1127,Qadian,20
1128,Rairangpur,19
1129,Silvassa,31
1130,Nowrozabad (Khodargama),13
1131,Mangrol,21
1132,Soyagaon,14
1133,Sujanpur,20
1134,Manihari,4
1135,Sikanderpur,27
1136,Mangalvedhe,14
1137,Phulera,21
1138,Ron,11
